order_id,payment_type,payment_value
114,upi,5289
115,upi,2106
116,debit_card,31871
117,wallet,1547
118,wallet,6982
119,debit_card,45977
120,credit_card,4764
121,wallet,22355
122,credit_card,19215
123,wallet,20647
124,credit_card,12078
125,upi,26992
126,wallet,8925
127,upi,45266
128,wallet,15096
129,upi,44818
130,debit_card,53531
131,credit_card,45696
132,wallet,7160
133,debit_card,5976
134,debit_card,678
135,upi,26377
136,upi,10977
137,credit_card,22234
138,upi,10431
139,wallet,24515
140,debit_card,14432
141,upi,2077
142,credit_card,4055
143,wallet,36548
144,upi,25834
145,credit_card,1356
146,debit_card,17004
147,credit_card,4099
148,debit_card,18909
149,wallet,6049
150,upi,30867
151,debit_card,66725
152,debit_card,7608
153,debit_card,8128
154,debit_card,1882
155,wallet,1058
156,wallet,26020
157,credit_card,51678
158,debit_card,55126
159,credit_card,31615
160,debit_card,2684
161,wallet,14079
162,upi,95050
163,credit_card,5029
164,debit_card,26299
165,credit_card,9624
166,wallet,3191
167,credit_card,6676
168,wallet,3710
169,wallet,29137
170,debit_card,42230
171,upi,40733
172,credit_card,50867
173,wallet,425
174,credit_card,7369
175,wallet,16904
176,debit_card,5641
177,debit_card,32397
178,credit_card,2410
179,debit_card,14587
180,wallet,44560
181,wallet,15041
182,upi,17712
183,wallet,51102
184,upi,1733
185,credit_card,22307
186,wallet,1622
187,upi,16813
188,upi,9873
189,debit_card,69036
190,debit_card,36657
191,wallet,25383
192,upi,10290
193,wallet,8535
194,upi,1799
195,credit_card,72671
196,wallet,1413
197,wallet,9887
198,wallet,12669
199,wallet,3420
200,upi,4067
201,debit_card,81210
202,debit_card,22344
203,credit_card,9605
204,upi,3456
205,credit_card,144084
206,credit_card,2453
207,upi,37022
208,credit_card,4851
209,credit_card,28099
210,credit_card,11644
211,credit_card,8663
212,debit_card,2115
213,credit_card,19035
214,upi,1132
215,credit_card,8165
216,debit_card,20989
217,credit_card,20844
218,debit_card,3727
219,wallet,9939
220,wallet,19089
221,credit_card,1853
222,credit_card,19026
223,debit_card,25821
224,debit_card,311
225,debit_card,6867
226,debit_card,2066
227,upi,32539
228,credit_card,6574
229,wallet,62461
230,credit_card,12663
231,wallet,15943
232,debit_card,23011
233,debit_card,4557
234,debit_card,16513
235,upi,5060
236,upi,26456
237,debit_card,13055
238,credit_card,1167
239,wallet,1593
240,credit_card,13082
241,debit_card,6444
242,wallet,3341
243,debit_card,5404
244,credit_card,5488
245,debit_card,49785
246,wallet,687
247,upi,4075
248,credit_card,53613
249,upi,38452
250,credit_card,7037
251,debit_card,31819
252,credit_card,17285
253,debit_card,23714
254,upi,1612
255,debit_card,9229
256,debit_card,20183
257,credit_card,7270
258,wallet,2506
259,debit_card,16884
260,credit_card,5966
261,upi,643
262,debit_card,2749
263,upi,1816
264,debit_card,7315
265,upi,55828
266,wallet,6036
267,wallet,33868
268,debit_card,22120
269,credit_card,17104
270,upi,10126
271,wallet,89073
272,debit_card,10002
273,debit_card,501
274,wallet,1714
275,credit_card,15924
276,upi,5553
277,wallet,43121
278,wallet,11840
279,debit_card,10805
280,upi,21341
281,credit_card,27524
282,wallet,15346
283,credit_card,3396
284,wallet,37816
285,upi,24338
286,credit_card,30411
287,wallet,16604
288,upi,10490
289,debit_card,14447
290,credit_card,2296
291,debit_card,15124
292,wallet,7933
293,credit_card,9888
294,credit_card,62972
295,wallet,5607
296,upi,12413
297,debit_card,20167
298,upi,11259
299,upi,31024
300,upi,8754
301,credit_card,20482
302,upi,10212
303,upi,12628
304,wallet,5020
305,credit_card,4900
306,wallet,2141
307,credit_card,13692
308,upi,1195
309,upi,10127
310,debit_card,3242
311,credit_card,5337
312,upi,3255
313,debit_card,5942
314,credit_card,28999
315,wallet,31592
316,debit_card,3355
317,wallet,2124
318,wallet,6593
319,wallet,19138
320,upi,5104
321,debit_card,69446
322,credit_card,11298
323,debit_card,6529
324,upi,6058
325,debit_card,10726
326,debit_card,4395
327,wallet,50978
328,upi,56301
329,debit_card,10934
330,credit_card,24567
331,upi,13394
332,upi,65143
333,credit_card,45758
334,credit_card,2824
335,wallet,15963
336,credit_card,27249
337,wallet,6838
338,debit_card,12704
339,upi,11276
340,wallet,27663
341,credit_card,3647
342,upi,31205
343,debit_card,55753
344,upi,34641
345,upi,2250
346,wallet,56007
347,debit_card,37496
348,credit_card,6182
349,debit_card,7648
350,upi,902
351,debit_card,4120
352,upi,17769
353,upi,3634
354,upi,51684
355,upi,11644
356,credit_card,4761
357,upi,4956
358,debit_card,3488
359,credit_card,2783
360,upi,8844
361,debit_card,30244
362,credit_card,10922
363,credit_card,14662
364,debit_card,44492
365,debit_card,19582
366,credit_card,5808
367,debit_card,13569
368,debit_card,1862
369,wallet,12394
370,wallet,24795
371,upi,46680
372,wallet,14543
373,upi,48312
374,debit_card,12559
375,credit_card,3350
376,debit_card,15267
377,credit_card,9254
378,upi,27639
379,upi,1273
380,upi,39705
381,debit_card,27826
382,credit_card,6484
383,debit_card,8234
384,upi,2841
385,debit_card,57942
386,debit_card,10603
387,wallet,12511
388,upi,24764
389,credit_card,3074
390,debit_card,7214
391,debit_card,5061
392,debit_card,43768
393,credit_card,638
394,credit_card,16280
395,debit_card,1773
396,credit_card,1500
397,credit_card,153
398,wallet,39300
399,credit_card,14490
400,credit_card,11996
401,upi,28177
402,upi,1813
403,wallet,38820
404,wallet,9009
405,wallet,8469
406,debit_card,1672
407,debit_card,3762
408,wallet,35198
409,credit_card,9749
410,wallet,28223
411,credit_card,5935
412,upi,21201
413,wallet,259
414,debit_card,12625
415,credit_card,5243
416,upi,12582
417,wallet,8401
418,wallet,2723
419,credit_card,10429
420,wallet,17045
421,upi,45896
422,wallet,6863
423,upi,11269
424,wallet,23352
425,debit_card,19141
426,credit_card,4659
427,credit_card,17412
428,credit_card,4262
429,upi,32581
430,debit_card,89276
431,upi,34954
432,credit_card,37577
433,upi,13999
434,debit_card,74733
435,upi,1800
436,upi,8096
437,credit_card,1768
438,credit_card,34996
439,wallet,56909
440,wallet,50942
441,credit_card,13536
442,debit_card,13302
443,debit_card,3169
444,wallet,14806
445,wallet,6727
446,upi,11238
447,upi,1541
448,credit_card,15899
449,debit_card,3123
450,credit_card,21379
451,wallet,2197
452,debit_card,51998
453,credit_card,19388
454,upi,79712
455,debit_card,25196
456,upi,7442
457,upi,13859
458,wallet,11985
459,debit_card,61391
460,debit_card,150
461,debit_card,14632
462,upi,7073
463,wallet,24722
464,debit_card,5579
465,wallet,10131
466,debit_card,3977
467,debit_card,6000
468,wallet,18454
469,upi,6884
470,upi,9195
471,debit_card,59776
472,wallet,5848
473,upi,41832
474,wallet,6666
475,upi,739
476,wallet,29770
477,upi,18258
478,wallet,2822
479,wallet,7950
480,debit_card,45411
481,wallet,5428
482,debit_card,53793
483,debit_card,13111
484,credit_card,1039
485,wallet,10426
486,credit_card,2452
487,wallet,2013
488,wallet,14765
489,wallet,1569
490,debit_card,7241
491,wallet,36856
492,credit_card,651
493,upi,571
494,upi,32904
495,wallet,1072
496,debit_card,57018
497,debit_card,11753
498,debit_card,8462
499,debit_card,5570
500,debit_card,4034
501,debit_card,42266
502,debit_card,83070
503,wallet,1214
504,credit_card,40733
505,credit_card,3073
506,upi,3187
507,wallet,47509
508,wallet,4527
509,debit_card,55856
510,upi,7163
511,debit_card,5574
512,debit_card,7185
513,credit_card,19652
514,credit_card,100120
515,credit_card,1791
516,debit_card,14460
517,debit_card,3736
518,upi,25235
519,wallet,9137
520,debit_card,14028
521,wallet,31863
522,upi,1878
523,credit_card,5654
524,debit_card,3431
525,wallet,1885
526,upi,10776
527,wallet,52825
528,upi,46634
529,wallet,201
530,debit_card,25193
531,credit_card,9039
532,upi,12573
533,wallet,44352
534,wallet,22635
535,credit_card,18159
536,upi,4345
537,credit_card,31136
538,upi,4104
539,upi,8133
540,upi,33431
541,credit_card,10728
542,wallet,15902
543,debit_card,12040
544,credit_card,2444
545,credit_card,94631
546,upi,1825
547,upi,53491
548,credit_card,15910
549,debit_card,4762
550,credit_card,1075
551,debit_card,33252
552,debit_card,5730
553,upi,8866
554,credit_card,8564
555,debit_card,16362
556,wallet,1042
557,credit_card,11833
558,debit_card,5329
559,debit_card,19456
560,credit_card,39429
561,debit_card,50612
562,credit_card,34796
563,credit_card,72709
564,debit_card,6960
565,credit_card,60865
566,credit_card,10782
567,credit_card,42132
568,wallet,43418
569,wallet,1631
570,wallet,2189
571,debit_card,36030
572,debit_card,56101
573,debit_card,5916
574,wallet,17445
575,credit_card,20277
576,upi,10901
577,upi,6684
578,wallet,23748
579,credit_card,1515
580,upi,3527
581,credit_card,25292
582,upi,6293
583,wallet,2547
584,credit_card,18348
585,credit_card,6129
586,debit_card,10644
587,credit_card,2313
588,credit_card,4313
589,debit_card,15723
590,debit_card,57213
591,upi,327
592,wallet,46671
593,upi,32142
594,upi,38277
595,upi,62804
596,upi,10327
597,wallet,3593
598,wallet,40402
599,upi,21671
600,debit_card,106204
601,upi,1749
602,credit_card,3420
603,wallet,1443
604,credit_card,9305
605,credit_card,23992
606,credit_card,49934
607,credit_card,10406
608,upi,18483
609,debit_card,50568
610,wallet,30101
611,credit_card,20046
612,credit_card,5912
613,wallet,7212
614,wallet,6328
615,credit_card,7589
616,credit_card,4377
617,credit_card,98
618,upi,3430
619,wallet,49484
620,wallet,36899
621,upi,16389
622,upi,35008
623,wallet,9580
624,credit_card,2720
625,upi,3654
626,wallet,49454
627,credit_card,12227
628,wallet,11585
629,debit_card,4860
630,debit_card,52339
631,upi,1909
632,debit_card,20219
633,debit_card,796
634,credit_card,23517
635,credit_card,6908
636,credit_card,74681
637,wallet,7953
638,debit_card,51748
639,credit_card,21435
640,wallet,17993
641,credit_card,44913
642,credit_card,9727
643,upi,17544
644,debit_card,34588
645,wallet,4212
646,wallet,36752
647,credit_card,13607
648,debit_card,37805
649,upi,6437
650,debit_card,6133
651,wallet,12673
652,wallet,4392
653,upi,44206
654,upi,978
655,credit_card,15042
656,debit_card,4382
657,credit_card,12178
658,wallet,10605
659,upi,42886
660,upi,8170
661,credit_card,7124
662,upi,69074
663,credit_card,45268
664,debit_card,43209
665,debit_card,36430
666,debit_card,27681
667,credit_card,38286
668,debit_card,1587
669,wallet,33565
670,debit_card,10989
671,debit_card,3572
672,upi,30678
673,wallet,53165
674,wallet,747
675,credit_card,7362
676,debit_card,13065
677,debit_card,10960
678,wallet,53765
679,debit_card,20696
680,debit_card,12410
681,credit_card,494
682,debit_card,93059
683,credit_card,9705
684,wallet,34852
685,upi,174
686,wallet,60832
687,wallet,276
688,upi,15623
689,wallet,65133
690,wallet,27477
691,debit_card,17136
692,debit_card,14120
693,credit_card,60851
694,debit_card,13432
695,wallet,10462
696,credit_card,51691
697,credit_card,2124
698,upi,9522
699,credit_card,14245
700,wallet,2253
701,upi,32508
702,debit_card,60998
703,upi,35372
704,debit_card,833
705,upi,5286
706,debit_card,15315
707,debit_card,16080
708,wallet,2572
709,debit_card,1301
710,wallet,24779
711,upi,672
712,credit_card,12898
713,wallet,6544
714,wallet,13079
715,credit_card,12196
716,credit_card,32321
717,upi,13115
718,credit_card,424
719,wallet,1278
720,wallet,34814
721,debit_card,3265
722,upi,28839
723,debit_card,98842
724,debit_card,7221
725,credit_card,1310
726,wallet,1674
727,credit_card,4257
728,wallet,16774
729,debit_card,117
730,upi,46334
731,debit_card,39418
732,upi,6333
733,credit_card,1460
734,debit_card,14232
735,debit_card,90600
736,debit_card,730
737,upi,30259
738,credit_card,8877
739,wallet,22133
740,credit_card,6558
741,upi,49514
742,upi,46732
743,wallet,12260
744,wallet,28462
745,upi,15212
746,credit_card,2188
747,debit_card,46870
748,credit_card,1639
749,upi,47233
750,credit_card,1522
751,upi,8027
752,wallet,473
753,wallet,1503
754,wallet,30563
755,wallet,45866
756,debit_card,5739
757,upi,55418
758,debit_card,17366
759,credit_card,4151
760,credit_card,3482
761,debit_card,10305
762,wallet,13375
763,credit_card,9673
764,credit_card,5317
765,wallet,77966
766,wallet,18377
767,wallet,38929
768,credit_card,1915
769,upi,8041
770,debit_card,2389
771,upi,36480
772,debit_card,8661
773,debit_card,7057
774,wallet,3555
775,debit_card,11148
776,debit_card,3009
777,upi,7473
778,wallet,1713
779,credit_card,12372
780,wallet,60938
781,credit_card,12569
782,wallet,15397
783,debit_card,40085
784,wallet,3465
785,credit_card,1032
786,wallet,4049
787,wallet,12448
788,wallet,86852
789,upi,45878
790,credit_card,15085
791,debit_card,2882
792,wallet,29817
793,debit_card,45187
794,wallet,3628
795,credit_card,2875
796,upi,18308
797,upi,30772
798,credit_card,14960
799,credit_card,2718
800,credit_card,13171
801,wallet,25551
802,upi,45718
803,upi,1475
804,credit_card,43655
805,wallet,13632
806,credit_card,4044
807,credit_card,8794
808,credit_card,25277
809,debit_card,7920
810,wallet,42410
811,wallet,776
812,wallet,51348
813,credit_card,2364
814,upi,6137
815,wallet,11530
816,upi,23031
817,credit_card,6175
818,debit_card,1367
819,credit_card,32613
820,wallet,4427
821,wallet,46813
822,wallet,40574
823,debit_card,10305
824,upi,4502
825,debit_card,587
826,credit_card,33509
827,credit_card,4737
828,credit_card,4874
829,upi,1970
830,credit_card,4646
831,debit_card,5332
832,credit_card,3267
833,upi,32522
834,upi,3690
835,debit_card,49172
836,debit_card,14225
837,debit_card,15626
838,credit_card,41642
839,credit_card,20337
840,wallet,29687
841,upi,2281
842,credit_card,12182
843,wallet,18106
844,debit_card,557
845,debit_card,4814
846,credit_card,14133
847,debit_card,13007
848,debit_card,4915
849,wallet,13462
850,wallet,23049
851,debit_card,5479
852,debit_card,22576
853,wallet,12219
854,debit_card,1127
855,debit_card,12311
856,debit_card,12993
857,wallet,9543
858,credit_card,2618
859,debit_card,22923
860,credit_card,9866
861,wallet,2344
862,upi,2752
863,upi,17736
864,wallet,17692
865,upi,57634
866,wallet,1094
867,debit_card,6244
868,debit_card,8000
869,debit_card,3983
870,upi,15304
871,credit_card,50591
872,upi,32326
873,credit_card,398
874,wallet,3786
875,debit_card,61241
876,wallet,29862
877,credit_card,53559
878,debit_card,41782
879,wallet,28368
880,debit_card,16037
881,upi,8552
882,credit_card,21117
883,debit_card,45001
884,credit_card,14552
885,credit_card,21862
886,upi,3320
887,credit_card,2615
888,upi,16923
889,credit_card,1319
890,upi,25392
891,credit_card,50419
892,debit_card,8740
893,upi,8403
894,upi,7182
895,wallet,5647
896,credit_card,4761
897,upi,4696
898,upi,12890
899,wallet,105255
900,wallet,550
901,upi,22652
902,wallet,3529
903,wallet,3884
904,wallet,61917
905,upi,37867
906,debit_card,49626
907,upi,2825
908,wallet,4127
909,debit_card,11226
910,upi,36841
911,upi,107408
912,upi,11184
913,credit_card,17005
914,wallet,14478
915,wallet,49476
916,upi,2998
917,credit_card,3718
918,credit_card,15647
919,debit_card,37656
920,upi,14357
921,upi,19672
922,upi,1481
923,wallet,5665
924,wallet,9962
925,upi,5088
926,credit_card,7532
927,debit_card,5778
928,credit_card,26980
929,credit_card,29573
930,wallet,1832
931,credit_card,14660
932,debit_card,12474
933,debit_card,44974
934,debit_card,10388
935,debit_card,45137
936,upi,13899
937,credit_card,19711
938,debit_card,10685
939,upi,1608
940,debit_card,7931
941,debit_card,26060
942,debit_card,1931
943,credit_card,4481
944,credit_card,2611
945,debit_card,4231
946,debit_card,40308
947,debit_card,6344
948,credit_card,14051
949,wallet,1181
950,wallet,11189
951,debit_card,2565
952,credit_card,26345
953,upi,5442
954,debit_card,38901
955,wallet,1339
956,credit_card,11445
957,credit_card,8914
958,wallet,4229
959,wallet,304
960,credit_card,38185
961,credit_card,12587
962,upi,13738
963,debit_card,39497
964,credit_card,8437
965,debit_card,706
966,upi,14222
967,upi,15844
968,upi,13130
969,upi,8252
970,upi,13662
971,debit_card,57153
972,debit_card,541
973,upi,28905
974,debit_card,30652
975,credit_card,47166
976,credit_card,2300
977,credit_card,14698
978,credit_card,7108
979,debit_card,10500
980,debit_card,9207
981,wallet,14255
982,debit_card,7009
983,credit_card,69944
984,upi,774
985,wallet,34486
986,debit_card,13358
987,credit_card,7837
988,upi,48087
989,debit_card,46152
990,credit_card,35598
991,wallet,7862
992,debit_card,14110
993,debit_card,2647
994,debit_card,1201
995,wallet,38884
996,upi,33481
997,debit_card,6362
998,credit_card,6483
999,upi,5585
1000,debit_card,8175
1001,upi,823
1002,credit_card,1742
1003,upi,1651
1004,wallet,1434
1005,debit_card,13398
1006,upi,6824
1007,credit_card,2814
1008,debit_card,9615
1009,credit_card,40339
1010,debit_card,42385
1011,debit_card,7372
1012,upi,47736
1013,debit_card,7531
1014,upi,12964
1015,credit_card,17540
1016,wallet,33631
1017,wallet,6449
1018,wallet,74555
1019,upi,12533
1020,credit_card,1993
1021,credit_card,10626
1022,upi,48291
1023,debit_card,6889
1024,upi,1417
1025,wallet,12774
1026,credit_card,50482
1027,wallet,9148
1028,wallet,4004
1029,upi,7305
1030,upi,15729
1031,wallet,314
1032,upi,25401
1033,debit_card,52749
1034,wallet,56239
1035,upi,1570
1036,credit_card,7712
1037,debit_card,1310
1038,credit_card,5632
1039,upi,2758
1040,credit_card,550
1041,debit_card,26069
1042,upi,26146
1043,wallet,587
1044,debit_card,9419
1045,upi,46879
1046,credit_card,2684
1047,debit_card,4871
1048,credit_card,6937
1049,debit_card,5141
1050,wallet,615
1051,credit_card,2922
1052,upi,38876
1053,credit_card,983
1054,upi,32340
1055,wallet,21948
1056,wallet,25118
1057,credit_card,1284
1058,credit_card,3411
1059,wallet,98577
1060,debit_card,2893
1061,wallet,14924
1062,wallet,12006
1063,credit_card,2362
1064,credit_card,1667
1065,wallet,16786
1066,credit_card,9419
1067,wallet,33907
1068,debit_card,46004
1069,debit_card,27349
1070,credit_card,34200
1071,upi,2774
1072,wallet,14574
1073,wallet,8365
1074,debit_card,59060
1075,credit_card,15136
1076,credit_card,6600
1077,credit_card,1762
1078,upi,1484
1079,upi,6327
1080,upi,2039
1081,wallet,47366
1082,credit_card,1343
1083,upi,2685
1084,debit_card,2178
1085,debit_card,11575
1086,upi,15767
1087,wallet,20041
1088,debit_card,7324
1089,debit_card,12305
1090,wallet,618
1091,credit_card,80704
1092,credit_card,32818
1093,credit_card,13044
1094,credit_card,24748
1095,debit_card,5063
1096,upi,9751
1097,debit_card,31234
1098,upi,58631
1099,wallet,16395
1100,credit_card,7470
1101,wallet,32772
1102,upi,22257
1103,wallet,11480
1104,wallet,7661
1105,upi,21133
1106,credit_card,5043
1107,wallet,11219
1108,wallet,38345
1109,wallet,29537
1110,wallet,33396
1111,upi,9922
1112,credit_card,28819
1113,debit_card,23656
1114,debit_card,9257
1115,upi,2913
1116,credit_card,6773
1117,wallet,51095
1118,credit_card,13500
1119,upi,15106
1120,credit_card,4150
1121,debit_card,14063
1122,wallet,75924
1123,debit_card,9592
1124,debit_card,52513
1125,upi,19048
1126,upi,10262
1127,wallet,10631
1128,debit_card,10519
1129,credit_card,1052
1130,wallet,27939
1131,credit_card,4865
1132,upi,8290
1133,debit_card,18284
1134,credit_card,3427
1135,credit_card,11861
1136,credit_card,5882
1137,upi,2683
1138,upi,13465
1139,upi,50833
1140,credit_card,9434
1141,credit_card,49296
1142,credit_card,10954
1143,wallet,16861
1144,upi,9940
1145,debit_card,6244
1146,wallet,28106
1147,debit_card,2595
1148,upi,2882
1149,debit_card,8674
1150,upi,23054
1151,credit_card,1842
1152,debit_card,18324
1153,upi,14779
1154,credit_card,8679
1155,upi,22739
1156,credit_card,35595
1157,credit_card,23045
1158,debit_card,16979
1159,credit_card,4120
1160,upi,29228
1161,credit_card,51985
1162,wallet,9585
1163,upi,7742
1164,debit_card,5115
1165,upi,50701
1166,upi,4608
1167,debit_card,2678
1168,upi,38200
1169,wallet,54521
1170,credit_card,22767
1171,wallet,9193
1172,wallet,58211
1173,credit_card,1380
1174,upi,1836
1175,credit_card,13989
1176,wallet,29052
1177,credit_card,5326
1178,debit_card,31479
1179,credit_card,23271
1180,upi,12685
1181,upi,8231
1182,debit_card,24981
1183,debit_card,2331
1184,credit_card,24640
1185,credit_card,21349
1186,debit_card,2843
1187,upi,8397
1188,wallet,4668
1189,credit_card,16790
1190,wallet,27028
1191,upi,1137
1192,upi,70107
1193,credit_card,2202
1194,credit_card,64915
1195,debit_card,11309
1196,wallet,903
1197,credit_card,3193
1198,wallet,40190
1199,wallet,42014
1200,upi,8831
1201,wallet,10268
1202,credit_card,10252
1203,wallet,2979
1204,credit_card,25818
1205,debit_card,1887
1206,credit_card,12936
1207,upi,92371
1208,upi,16026
1209,credit_card,17982
1210,upi,23806
1211,wallet,11088
1212,upi,3877
1213,debit_card,4817
1214,credit_card,1577
1215,credit_card,7502
1216,wallet,58681
1217,credit_card,3629
1218,upi,4381
1219,wallet,8536
1220,credit_card,7770
1221,upi,5026
1222,wallet,51556
1223,wallet,1249
1224,wallet,6387
1225,credit_card,28787
1226,credit_card,23184
1227,upi,5136
1228,credit_card,2237
1229,wallet,41438
1230,wallet,46386
1231,debit_card,7222
1232,wallet,18506
1233,credit_card,35514
1234,debit_card,2472
1235,upi,4844
1236,upi,11594
1237,wallet,14146
1238,credit_card,11160
1239,credit_card,712
1240,upi,5252
1241,wallet,20507
1242,debit_card,33187
1243,credit_card,45840
1244,credit_card,5022
1245,wallet,599
1246,wallet,1916
1247,debit_card,77211
1248,debit_card,7238
1249,debit_card,5864
1250,upi,34854
1251,debit_card,31497
1252,credit_card,1072
1253,debit_card,11060
1254,credit_card,4247
1255,upi,1431
1256,debit_card,5309
1257,credit_card,7999
1258,wallet,9777
1259,debit_card,13444
1260,credit_card,3897
1261,upi,2309
1262,wallet,1837
1263,upi,40937
1264,debit_card,30366
1265,credit_card,1750
1266,wallet,21651
1267,upi,94094
1268,upi,6430
1269,upi,48068
1270,upi,2697
1271,debit_card,15753
1272,credit_card,14260
1273,debit_card,151
1274,wallet,13047
1275,debit_card,21156
1276,wallet,5993
1277,debit_card,5041
1278,upi,37105
1279,credit_card,34954
1280,upi,4389
1281,debit_card,18342
1282,wallet,1238
1283,upi,26263
1284,upi,36829
1285,upi,20925
1286,upi,28423
1287,debit_card,34425
1288,upi,12823
1289,wallet,35878
1290,debit_card,8405
1291,debit_card,2247
1292,upi,2786
1293,debit_card,13474
1294,upi,52351
1295,upi,20794
1296,wallet,51951
1297,credit_card,15584
1298,credit_card,50445
1299,upi,4589
1300,upi,25940
1301,upi,437
1302,upi,86272
1303,upi,10534
1304,upi,553
1305,debit_card,20822
1306,upi,10356
1307,debit_card,32207
1308,upi,42394
1309,debit_card,41067
1310,credit_card,18839
1311,wallet,37075
1312,debit_card,904
1313,wallet,439
1314,debit_card,8127
1315,wallet,8664
1316,wallet,5987
1317,credit_card,1946
1318,debit_card,25653
1319,wallet,23887
1320,debit_card,34518
1321,debit_card,8062
1322,upi,73664
1323,debit_card,15730
1324,wallet,2931
1325,credit_card,15518
1326,wallet,9089
1327,debit_card,2732
1328,wallet,42535
1329,upi,14707
1330,wallet,1424
1331,credit_card,43315
1332,credit_card,15810
1333,debit_card,47889
1334,wallet,7249
1335,upi,9618
1336,credit_card,15882
1337,wallet,10834
1338,credit_card,35238
1339,wallet,16912
1340,credit_card,7319
1341,upi,14092
1342,upi,50048
1343,debit_card,1177
1344,credit_card,444
1345,debit_card,8687
1346,credit_card,7354
1347,upi,12322
1348,credit_card,14633
1349,debit_card,14724
1350,wallet,3195
1351,wallet,9190
1352,credit_card,45351
1353,upi,14069
1354,credit_card,7824
1355,upi,18123
1356,upi,55512
1357,debit_card,21134
1358,credit_card,6363
1359,upi,8430
1360,upi,42927
1361,debit_card,57185
1362,upi,14034
1363,wallet,63353
1364,debit_card,12080
1365,wallet,46517
1366,credit_card,7753
1367,wallet,3627
1368,upi,5473
1369,debit_card,15589
1370,upi,23652
1371,upi,59939
1372,upi,4804
1373,credit_card,47718
1374,credit_card,106576
1375,debit_card,10415
1376,upi,4477
1377,wallet,44131
1378,debit_card,15700
1379,credit_card,41520
1380,credit_card,48957
1381,debit_card,49241
1382,debit_card,1103
1383,credit_card,18553
1384,upi,957
1385,credit_card,80688
1386,upi,2264
1387,debit_card,5945
1388,credit_card,18479
1389,credit_card,15453
1390,upi,2006
1391,debit_card,72968
1392,wallet,6700
1393,debit_card,17852
1394,wallet,888
1395,debit_card,35470
1396,wallet,90614
1397,credit_card,63786
1398,credit_card,52755
1399,credit_card,24392
1400,upi,8856
1401,debit_card,27834
1402,debit_card,721
1403,wallet,23275
1404,upi,2340
1405,wallet,20220
1406,debit_card,8745
1407,debit_card,6894
1408,credit_card,2756
1409,credit_card,13424
1410,upi,13838
1411,upi,11677
1412,credit_card,1143
1413,credit_card,32886
1414,credit_card,455
1415,debit_card,7787
1416,upi,8820
1417,debit_card,2651
1418,debit_card,29240
1419,debit_card,16583
1420,wallet,8097
1421,wallet,10070
1422,credit_card,2196
1423,debit_card,14419
1424,upi,47897
1425,debit_card,42102
1426,credit_card,45851
1427,wallet,791
1428,debit_card,2687
1429,wallet,33390
1430,upi,25443
1431,wallet,47703
1432,upi,13833
1433,wallet,11096
1434,credit_card,13340
1435,debit_card,54390
1436,debit_card,24502
1437,upi,19422
1438,wallet,7828
1439,debit_card,22121
1440,upi,9011
1441,upi,49184
1442,debit_card,10124
1443,wallet,49067
1444,credit_card,42462
1445,wallet,5874
1446,upi,2788
1447,wallet,8622
1448,debit_card,91390
1449,upi,1896
1450,debit_card,25493
1451,credit_card,3988
1452,debit_card,17430
1453,upi,81323
1454,debit_card,6131
1455,debit_card,102372
1456,upi,5760
1457,upi,5831
1458,debit_card,31608
1459,wallet,37047
1460,upi,7460
1461,debit_card,14021
1462,wallet,527
1463,upi,10288
1464,wallet,40384
